property_id,id,displayPrice,deedDate,newBuild,tenure,percentageChange
1453621|16|,20808913LR,"£540,000",2024-02-28,False,Freehold,
1288910||46,21462016ROS,"£160,000",2023-03-02,False,,-17.0
1288910||46,20196064ROS,"£193,000",2017-07-05,False,,
34264|18|,25546935LR,"£200,000",2015-12-10,False,Leasehold,
"1138715|CHEPSTOW HOUSE, 16 - 20|FLAT 20",14680321LR,"£280,000",2021-07-09,False,Leasehold,47.0
"1138715|CHEPSTOW HOUSE, 16 - 20|FLAT 20",54378285LR,"£190,000",2015-10-23,False,Leasehold,41.0
"1138715|CHEPSTOW HOUSE, 16 - 20|FLAT 20",54378087LR,"£135,000",2001-06-28,False,Leasehold,73.0
"1138715|CHEPSTOW HOUSE, 16 - 20|FLAT 20",54378006LR,"£78,000",1997-03-18,False,Leasehold,
4708224|15|APARTMENT 23,90387963LR,"£109,995",2019-11-11,True,Leasehold,
268872|40|,17361502LR,"£310,500",2022-09-12,False,Leasehold,170.0
268872|40|,41523804LR,"£115,000",2002-07-26,False,Leasehold,
915188|25|APARTMENT 203,21555028LR,"£2,600,000",2022-06-07,True,Leasehold,
4326883|6|APARTMENT 1.11,94160445LR,"£8,750,000",2023-04-03,True,Leasehold,
544748|6|,19926037LR,"£1,830,000",2023-10-27,False,Freehold,88.0
544748|6|,57051999LR,"£975,000",2013-11-22,False,Freehold,
1552726|CLARENCE GATE GARDENS|FLAT 176,93370587LR,"£1,540,000",2022-03-18,False,Leasehold,
"4377166|ERRINGTON HOUSE, 4|FLAT 48",21782095LR,"£933,625",2023-07-26,True,Leasehold,
"4769637|PETERBOROUGH HOUSE, 1|FLAT 25",14843776LR,"£1,830,000",2020-11-27,True,Leasehold,
278204|68|,19197484LR,"£1,365,000",2022-03-11,False,Freehold,
707456|50|,21494383LR,"£328,750",2023-04-05,False,Freehold,370.0
707456|50|,68808411LR,"£70,000",1997-06-20,False,Freehold,
4848717|LIONGATE HOUSE|FLAT 3,17378182LR,"£260,000",2022-09-08,True,Leasehold,
1005000|230|,19361287LR,"£525,000",2023-11-21,False,Freehold,166.0
1005000|230|,28977630LR,"£197,000",2003-04-30,False,Freehold,31.0
